store_id,product_id,quantity
1,72,39
1,73,50
1,74,10
1,75,83
1,76,60
1,77,77
1,78,30
1,79,42
1,80,14
1,81,11
1,82,82
1,83,67
1,84,29
1,85,59
1,86,74
1,87,44
1,88,61
1,89,57
1,90,60
1,91,60
1,92,45
1,93,55
1,94,63
1,95,100
1,96,83
1,97,26
1,98,26
1,99,63
1,100,43
1,101,91
1,102,73
1,103,79
1,104,40
1,105,41
1,106,11
1,107,82
1,108,38
1,109,48
1,110,68
1,111,88
1,112,91
1,113,37
1,114,50
1,115,12
1,116,79
1,117,11
1,118,60
2,72,12
2,73,63
2,74,30
2,75,24
2,76,86
2,77,91
2,78,88
2,79,99
2,80,90
2,81,91
2,82,96
2,83,19
2,84,95
2,85,19
2,86,29
2,87,57
2,88,16
2,89,86
2,90,37
2,91,69
2,92,45
2,93,55
2,94,81
2,95,74
2,96,50
2,97,53
2,98,46
2,99,94
2,100,44
2,101,86
2,102,19
2,103,56
2,104,57
2,105,48
2,106,84
2,107,71
2,108,36
2,109,98
2,110,58
2,111,75
2,112,98
2,113,37
2,114,39
2,115,25
2,116,79
2,117,13
2,118,81
3,72,72
3,73,75
3,74,55
3,75,40
3,76,62
3,77,57
3,78,20
3,79,60
3,80,40
3,81,91
3,82,12
3,83,59
3,84,78
3,85,64
3,86,23
3,87,46
3,88,13
3,89,39
3,90,86
3,91,54
3,92,10
3,93,41
3,94,12
3,95,90
3,96,63
3,97,78
3,98,11
3,99,51
3,100,54
3,101,18
3,102,61
3,103,12
3,104,62
3,105,66
3,106,21
3,107,42
3,108,44
3,109,88
3,110,36
3,111,65
3,112,38
3,113,89
3,114,34
3,115,56
3,116,86
3,117,97
3,118,90
